角色昵称,服务器名,违规次数
鸡*妈,燃烧之刃,首次违规
鸡*流,凤凰之神,首次违规
鸡*海,血色十字军,首次违规
鸡*根,燃烧之刃,首次违规
鸡*哥,主宰之剑,首次违规
鸡*丶,凤凰之神,多次违规
鸡*菜,玛多兰,首次违规
鸡**量,白银之手,首次违规
鸡**菇,凤凰之神,首次违规
鸡**丶,白银之手,多次违规
鸡**蛋,霜狼,首次违规
鸡**霸,凤凰之神,首次违规
鸡***汁,燃烧之刃,首次违规
鸡***位,冰风岗,多次违规
鸡***士,幽暗沼泽,首次违规
鸡***么,冰风岗,多次违规
鸡***馒,玛里苟斯,首次违规
鸡***卷,白银之手,多次违规
鸡***饭,安苏,首次违规
鸡***丷,格瑞姆巴托,多次违规
鸡****心,血色十字军,首次违规
鸡****丁,主宰之剑,多次违规
肌*贼,冰风岗,首次违规
肌**妻,燃烧之刃,首次违规
肌**汉,安苏,多次违规
肌***雪,格瑞姆巴托,多次违规
肌***臂,主宰之剑,多次违规
机**障,冰风岗,多次违规
机**美,罗宁,多次违规
机**蛋,血色十字军,多次违规
机**臂,白银之手,多次违规
机***子,白银之手,多次违规
机***猪,冰风岗,首次违规
机***猫,伊森利恩,首次违规
机***丶,格瑞姆巴托,多次违规
机****尾,索拉丁,首次违规
机****兽,海加尔,首次违规
机****师,血色十字军,多次违规
机****僧,罗宁,多次违规
机****然,毁灭之锤,首次违规
机****刀,激流之傲,多次违规
机****布,白银之手,多次违规
叽**美,主宰之剑,首次违规
叽**拉,凤凰之神,首次违规
叽***德,主宰之剑,首次违规
霍*桐,耐奥祖,首次违规
霍*艾,无尽之海,首次违规
霍**姆,凤凰之神,首次违规
霍**箭,罗宁,首次违规
霍**格,罗宁,首次违规
霍**丶,盖斯,首次违规
霍***子,基尔加丹,多次违规
霍***丶,凤凰之神,首次违规
霍****罗,金色平原,多次违规
惑**惑,扎拉赞恩,首次违规
货****多,埃德萨拉,首次违规
或*丨,诺兹多姆,首次违规
灬*邪,血环,多次违规
灬*亡,凤凰之神,多次违规
灬*手,罗宁,首次违规
灬*世,安苏,多次违规
灬*賸,燃烧之刃,多次违规
灬*聖,影之哀伤,首次违规
灬*染,凤凰之神,多次违规
灬*嗯,凤凰之神,首次违规
灬*南,主宰之剑,首次违规
灬*铃,凤凰之神,多次违规
灬*麗,布兰卡德,多次违规
灬*酪,影之哀伤,首次违规
灬*吉,太阳之井,多次违规
灬*灬,格瑞姆巴托,多次违规
灬*枫,凤凰之神,首次违规
灬*碑,格瑞姆巴托,首次违规
灬**者,燃烧之刃,首次违规
灬**言,格瑞姆巴托,多次违规
灬**熊,破碎岭,首次违规
灬**婷,贫瘠之地,首次违规
灬**术,燃烧之刃,首次违规
灬**手,冰风岗,首次违规
灬**人,沙怒,首次违规
灬**玛,埃德萨拉,首次违规
灬**灬,白银之手,首次违规
灬**灬,冰风岗,首次违规
灬**灬,贫瘠之地,首次违规
灬**灬,死亡之翼,首次违规
灬**灬,刺骨利刃,首次违规
灬**灬,燃烧之刃,首次违规
灬**灬,凤凰之神,首次违规
灬**灬,死亡之翼,首次违规
灬**灬,燃烧之刃,首次违规
灬**灬,燃烧之刃,首次违规
灬**灬,无尽之海,首次违规
灬**灬,永恒之井,首次违规
灬**灬,无尽之海,首次违规
灬**灬,白银之手,首次违规
灬**灬,白银之手,首次违规
灬**灬,黑龙军团,首次违规
灬**灬,凤凰之神,多次违规
灬**灬,影之哀伤,多次违规
灬**灬,伊森利恩,多次违规
灬**灬,燃烧之刃,多次违规
灬**灬,安苏,多次违规
灬**灬,凤凰之神,多次违规
灬**灬,末日行者,多次违规
灬**灬,无尽之海,多次违规
灬**灬,格瑞姆巴托,多次违规
灬**灬,无尽之海,多次违规
灬**風,阿拉希,首次违规
灬**丶,影之哀伤,首次违规
灬**丶,埃德萨拉,首次违规
灬**丶,死亡之翼,首次违规
灬**橙,安苏,首次违规
灬**部,白银之手,多次违规
灬**贝,影之哀伤,首次违规
灬**包,阿拉希,首次违规
灬**白,格瑞姆巴托,首次违规
灬***中,凤凰之神,多次违规
灬***绎,格瑞姆巴托,首次违规
灬***羊,死亡之翼,多次违规
灬***翘,血色十字军,首次违规
灬***椒,地狱咆哮,首次违规
灬***灬,冰风岗,首次违规
灬***灬,凤凰之神,首次违规
灬***灬,格瑞姆巴托,首次违规
灬***灬,燃烧之刃,首次违规
灬***灬,布兰卡德,首次违规
灬***灬,霜之哀伤,首次违规
灬***灬,凤凰之神,首次违规
灬***灬,伊森利恩,首次违规
灬***灬,布兰卡德,首次违规
灬***灬,黑龙军团,首次违规
灬***灬,死亡之翼,首次违规
灬***灬,死亡之翼,首次违规
灬***灬,德拉诺,首次违规
灬***灬,破碎岭,首次违规
灬***灬,死亡之翼,首次违规
灬***灬,白银之手,首次违规
灬***灬,死亡之翼,首次违规
灬***灬,燃烧之刃,首次违规
灬***灬,迅捷微风,首次违规
灬***灬,影之哀伤,首次违规
灬***灬,格瑞姆巴托,首次违规
灬***灬,死亡之翼,首次违规
灬***灬,血色十字军,首次违规
灬***灬,死亡之翼,首次违规
灬***灬,白银之手,首次违规
灬***灬,黑铁,首次违规
灬***灬,凤凰之神,首次违规
灬***灬,影之哀伤,首次违规
灬***灬,凤凰之神,首次违规
灬***灬,凤凰之神,首次违规
灬***灬,霜之哀伤,首次违规
灬***灬,主宰之剑,首次违规
灬***灬,死亡之翼,多次违规
灬***灬,丽丽（四川）,多次违规
灬***灬,死亡之翼,多次违规
灬***灬,燃烧之刃,多次违规
灬***灬,勇士岛,多次违规
灬***灬,燃烧之刃,多次违规
灬***灬,白银之手,多次违规
灬***灬,伊森利恩,多次违规
灬***灬,主宰之剑,多次违规
灬***灬,冰风岗,多次违规
灬***灬,末日行者,多次违规
灬***灬,主宰之剑,多次违规
灬***灬,伊森利恩,多次违规
灬***灬,主宰之剑,多次违规
灬***灬,冰风岗,多次违规
灬***灬,主宰之剑,多次违规
灬***丶,血环,首次违规
灬***丶,伊森利恩,首次违规
灬***丶,伊森利恩,首次违规
灬***藏,霜狼,首次违规
灬***啊,影之哀伤,多次违规
灬****丨,死亡之翼,首次违规
灬****露,奥达曼,多次违规
灬****灬,燃烧之刃,首次违规
灬****灬,白银之手,首次违规
灬****灬,黑铁,首次违规
灬****灬,燃烧之刃,首次违规
灬****灬,燃烧之刃,首次违规
灬****灬,安苏,首次违规
灬****灬,格瑞姆巴托,首次违规
灬****灬,罗宁,首次违规
灬****灬,燃烧之刃,首次违规
灬****灬,凤凰之神,首次违规
灬****灬,影之哀伤,首次违规
灬****灬,卡德加,首次违规
灬****灬,国王之谷,首次违规
灬****灬,燃烧之刃,首次违规
灬****灬,格瑞姆巴托,首次违规
灬****灬,白银之手,首次违规
灬****灬,凤凰之神,首次违规
灬****灬,格瑞姆巴托,首次违规
灬****灬,塔纳利斯,首次违规
灬****灬,燃烧之刃,首次违规
灬****灬,瓦里玛萨斯,首次违规
灬****灬,血色十字军,首次违规
灬****灬,白银之手,多次违规
灬****灬,伊森利恩,多次违规
灬****灬,格瑞姆巴托,多次违规
灬****灬,伊森利恩,多次违规
灬****灬,格瑞姆巴托,多次违规
灬****灬,燃烧之刃,多次违规
灬****灬,格瑞姆巴托,多次违规
灬****灬,布兰卡德,多次违规
灬****灬,死亡之翼,多次违规
灬****灬,格瑞姆巴托,多次违规
灬****灬,巴瑟拉斯,多次违规
灬****丶,白银之手,首次违规
灬****丶,影之哀伤,首次违规
灬****丶,死亡之翼,首次违规
灬****丶,影之哀伤,首次违规
灬****茶,格瑞姆巴托,首次违规
火*贼,死亡之翼,多次违规
火*囚,克尔苏加德,首次违规
火*猎,霍格,首次违规
火*炏,加基森,首次违规
火*灬,白银之手,首次违规
火*辉,凤凰之神,首次违规
火*皇,罗宁,首次违规
火*盒,燃烧之刃,首次违规
火*法,风暴之鳞,首次违规
火*儿,埃德萨拉,首次违规
火*爹,克尔苏加德,多次违规
火*丶,贫瘠之地,多次违规
火**正,凤凰之神,首次违规
火**興,黑铁,多次违规
火**王,凤凰之神,多次违规
火**天,鬼雾峰,首次违规
火**師,诺莫瑞根,首次违规
火**神,燃烧之刃,首次违规
火**傻,血色十字军,多次违规
火**弱,凤凰之神,多次违规
火**幕,无尽之海,首次违规
火***至,凤凰之神,首次违规
火***哮,格瑞姆巴托,首次违规
火***象,熊猫酒仙,首次违规
火***下,主宰之剑,首次违规
火***王,冰风岗,多次违规
火***兽,血色十字军,多次违规
火***士,布兰卡德,首次违规
火***師,克尔苏加德,多次违规
火***椒,海克泰尔,首次违规
火***灬,冰霜之刃,首次违规
火***花,伊森利恩,首次违规
火***丶,克尔苏加德,多次违规
火***暴,凤凰之神,首次违规
火****燚,熊猫酒仙,多次违规
火****乁,凤凰之神,首次违规
火****兴,加尔,首次违规
火****术,鬼雾峰,首次违规
火****手,霜之哀伤,多次违规
火****风,血色十字军,首次违规
火****丶,深渊之巢,首次违规
活*该,凤凰之神,首次违规
活**忆,耐奥祖,首次违规
活**夏,凤凰之神,首次违规
活**串,无尽之海,首次违规
活***气,燃烧之刃,首次违规
活***利,燃烧之刃,首次违规
活***丶,影之哀伤,首次违规
活****上,熊猫酒仙,首次违规
活****明,血色十字军,首次违规
活****明,国王之谷,首次违规
豁*赚,贫瘠之地,多次违规
豁*个,主宰之剑,首次违规
混*子,无尽之海,首次违规
混*骑,古尔丹,首次违规
混*绫,凤凰之神,首次违规
混*恶,霜之哀伤,首次违规
混**尊,燃烧之刃,首次违规
混**食,罗宁,首次违规
混**冥,死亡之翼,首次违规
混**黑,燃烧之刃,首次违规
混**丶,死亡之翼,首次违规
混***亚,克洛玛古斯,首次违规
混***丿,白银之手,首次违规
混***丿,主宰之剑,首次违规
混***丶,血色十字军,首次违规
混***暴,白银之手,首次违规
混***丷,格瑞姆巴托,首次违规
混****鱼,罗宁,首次违规
混****昆,国王之谷,首次违规
混****機,凤凰之神,首次违规
魂*泣,末日行者,多次违规
魂*気,凤凰之神,多次违规
魂*姐,斯坦索姆,首次违规
魂*斗,奥尔加隆,首次违规
魂*丶,黑暗虚空,多次违规
魂**云,卡德加,首次违规
魂**幽,白银之手,首次违规
魂**师,安苏,多次违规
魂**梦,末日行者,首次违规
魂**绝,罗宁,首次违规
魂**歌,库德兰,首次违规
魂**歌,萨菲隆,多次违规
魂**戈,守护之剑,多次违规
馄****菜,格瑞姆巴托,多次违规
浑**成,燃烧之刃,多次违规
浑***丶,凤凰之神,多次违规
荤*令,凤凰之神,首次违规
蕙*丶,凤凰之神,多次违规
慧*娴,伊森利恩,首次违规
會***丶,雷斧堡垒,首次违规
惠*猪,白银之手,首次违规
惠*丶,影之哀伤,首次违规
惠**畅,死亡之翼,首次违规
惠***粉,血色十字军,首次违规
秽***术,燃烧之刃,多次违规
晦*迹,白银之手,首次违规
绘*生,燃烧之刃,多次违规
讳**倦,罗宁,多次违规
会*计,燃烧之刃,首次违规
会*的,芬里斯,首次违规
会**棍,无尽之海,首次违规
会***子,时光之穴,首次违规
会***猪,白银之手,多次违规
会***汁,主宰之剑,首次违规
会***蜴,冰风岗,首次违规
会***物,死亡之翼,多次违规
会***奶,达尔坎,首次违规
会***红,主宰之剑,首次违规
会***丶,灰谷,首次违规
会***翅,凤凰之神,多次违规
会****员,凤凰之神,多次违规
会****侠,幽暗沼泽,首次违规
会****姐,格瑞姆巴托,首次违规
会****鸡,巴纳扎尔,首次违规
会****菲,巫妖之王,首次违规
会****多,白银之手,多次违规
会****卜,奥拉基尔,首次违规
毁*嘟,燃烧之刃,首次违规
毁**土,凤凰之神,首次违规
毁**萨,黑铁,首次违规
毁**囧,燃烧之刃,首次违规
毁**楓,死亡之翼,首次违规
毁**帝,白银之手,首次违规
毁**蛋,暗影之月,多次违规
毁**宝,海克泰尔,首次违规
毁***丶,贫瘠之地,首次违规
毁***锤,回音山,首次违规
悔*改,影之哀伤,多次违规
迴***丶,伊森利恩,多次违规
茴****丶,血色十字军,首次违规
茴****丶,贫瘠之地,首次违规
廻*丶,主宰之剑,多次违规
廻**譚,贫瘠之地,首次违规
回*者,烈焰峰,首次违规
回*呀,燃烧之刃,首次违规
回*眸,德拉诺,多次违规
回*车,血色十字军,多次违规
回**昔,塞拉摩,首次违规
回**水,熊猫酒仙,首次违规
回**瞟,埃德萨拉,多次违规
回**哦,罗宁,多次违规
回**酒,布兰卡德,首次违规
回**刺,密林游侠,多次违规
回**岸,生态船,首次违规
回***音,迦拉克隆,首次违规
回***雪,影之哀伤,多次违规
回***绪,凤凰之神,多次违规
回***想,燃烧之刃,首次违规
回***他,燃烧之刃,首次违规
回***事,克尔苏加德,首次违规
回***人,血色十字军,多次违规
回***猫,死亡之翼,首次违规
回***路,阿古斯,首次违规
回***丶,黑暗魅影,多次违规
回***德,布鲁塔卢斯,多次违规
回***单,凤凰之神,首次违规
回***初,死亡之翼,多次违规
回***饼,血色十字军,首次违规
回****散,末日行者,首次违规
回****灬,贫瘠之地,多次违规
回****丶,贫瘠之地,首次违规
回****城,格瑞姆巴托,首次违规
徽*墨,凤凰之神,首次违规
辉*伍,白银之手,多次违规
辉*煌,海加尔,首次违规
辉*丶,安苏,首次违规
辉*宝,深渊之巢,首次违规
辉**冠,死亡之翼,多次违规
辉***秒,白银之手,多次违规
辉***丷,死亡之翼,首次违规
晖*羽,凤凰之神,首次违规
晖**现,守护之剑,首次违规
晖**灬,凤凰之神,首次违规
恢*熊,死亡之翼,首次违规
恢*德,安加萨,首次违规
咴*咴,熊猫酒仙,首次违规
咴*哀,凤凰之神,多次违规
挥***伤,卡拉赞,首次违规
灰*夜,洛丹伦,首次违规
灰*新,凤凰之神,首次违规
灰*咲,白银之手,多次违规
灰*七,凤凰之神,首次违规
灰*离,安苏,首次违规
灰*蘭,耐奥祖,多次违规
灰*霏,熊猫酒仙,多次违规
灰*丶,影之哀伤,首次违规
灰**醉,影之哀伤,首次违规
灰**醒,格瑞姆巴托,首次违规
灰**星,死亡之翼,首次违规
灰**堂,激流之傲,首次违规
灰**缪,凤凰之神,首次违规
灰**丽,克尔苏加德,多次违规
灰**环,白银之手,首次违规
灰***子,白银之手,多次违规
灰***者,血色十字军,首次违规
灰***约,血色十字军,首次违规
灰***阳,影之哀伤,首次违规
灰***雅,血色十字军,首次违规
灰***像,白银之手,首次违规
灰***畏,影之哀伤,多次违规
灰***腾,海克泰尔,多次违规
灰***手,安苏,首次违规
灰***饰,影之哀伤,首次违规
灰***人,血色十字军,多次违规
灰***鸡,白银之手,多次违规
灰***辉,国王之谷,首次违规
灰***丶,布兰卡德,首次违规
灰***翅,巫妖之王,多次违规
灰****手,利刃之拳,多次违规
灰****宝,安苏,首次违规
谎**语,白银之手,首次违规
谎**梦,安苏,首次违规
晃**岩,火烟之谷,首次违规
晃***丶,回音山,首次违规
蝗**敌,罗宁,首次违规
煌*龙,太阳之井,首次违规
煌***香,凤凰之神,首次违规
崲*樱,破碎岭,首次违规
黃*丶,格瑞姆巴托,首次违规
黃***阪,凤凰之神,多次违规
凰*七,白银之手,多次违规
凰**丶,死亡之翼,多次违规
黄*泽,洛萨,多次违规
黄*爷,霜之哀伤,首次违规
黄*桃,加里索斯,多次违规
黄*术,安加萨,首次违规
黄*授,达克萨隆,首次违规
黄*湿,冰风岗,多次违规
黄*泉,奥妮克希亚,首次违规
黄*卿,燃烧之刃,首次违规
黄*芊,白银之手,首次违规
黄*明,血吼,首次违规
黄*榴,罗宁,多次违规
黄*磊,万色星辰,首次违规
黄*块,激流之傲,首次违规
黄*凯,凤凰之神,多次违规
黄*虎,死亡之翼,多次违规
黄*瓜,燃烧军团,首次违规
黄*斧,凤凰之神,多次违规
黄*点,伊森利恩,首次违规
黄*车,破碎岭,首次违规
黄**音,主宰之剑,首次违规
黄**王,冰风岗,首次违规
黄**头,石锤,多次违规
黄**铁,风暴之眼,多次违规
黄**鼠,死亡之翼,多次违规
黄**手,燃烧之刃,多次违规
黄**实,影之哀伤,首次违规
黄**师,无尽之海,首次违规
黄**圣,艾露恩,首次违规
黄**楼,主宰之剑,首次违规
黄**光,亡语者,首次违规
黄**渡,燃烧之刃,多次违规
黄**抖,冰风岗,多次违规
黄**动,死亡之翼,多次违规
黄**逼,白银之手,多次违规
黄**岸,恶魔之翼,首次违规
黄***兽,无尽之海,首次违规
黄***流,希尔瓦娜斯,首次违规
黄***丁,燃烧之刃,首次违规
黄***大,月光林地,首次违规
黄***愁,诺森德,首次违规
黄****品,冰风岗,多次违规
黄****流,霍格,首次违规
黄****丶,主宰之剑,多次违规
黄****吖,伊森利恩,首次违规
皇*马,冰风岗,多次违规
皇*蓝,熊猫酒仙,首次违规
皇**手,凤凰之神,首次违规
皇**宝,死亡之翼,首次违规
皇***片,死亡之翼,首次违规
皇***佩,克尔苏加德,多次违规
皇***里,死亡之翼,首次违规
皇***东,雷霆号角,首次违规
慌****我,影之哀伤,首次违规
荒*月,死亡之翼,首次违规
荒*野,奥尔加隆,首次违规
荒*星,罗宁,多次违规
荒*懂,提瑞斯法,首次违规
荒**宗,白银之手,首次违规
荒**者,金色平原,首次违规
荒**崽,埃基尔松,首次违规
荒**息,哈卡,首次违规
荒**王,血色十字军,多次违规
荒**烂,泰兰德,首次违规
荒**荒,提瑞斯法,首次违规
荒**唤,死亡之翼,多次违规
荒***夜,白银之手,首次违规
荒***人,罗宁,多次违规
荒***客,伊森利恩,首次违规
荒***鸡,冰风岗,多次违规
荒***唤,海克泰尔,首次违规
荒****者,燃烧之刃,首次违规
喚*师,龙骨平原,多次违规
喚***靈,凤凰之神,首次违规
浣**王,白银之手,多次违规
浣**箭,凤凰之神,首次违规
浣**傅,白银之手,首次违规
浣**丶,伊森利恩,首次违规
浣***水,伊森利恩,多次违规
涣*焕,安苏,首次违规
唤*师,迅捷微风,多次违规
唤*灵,主宰之剑,首次违规
唤**临,安苏,首次违规
唤**痕,凤凰之神,首次违规
唤***贝,凤凰之神,多次违规
换*批,白银之手,首次违规
换****遥,火焰之树,多次违规
幻*月,伊森利恩,首次违规
幻*西,达斯雷玛,首次违规
幻*薇,罗宁,首次违规
幻*世,影之哀伤,多次违规
幻*丿,天谴之门,首次违规
幻*茗,风暴之怒,首次违规
幻*萌,风暴之怒,首次违规
幻*空,布兰卡德,多次违规
幻*觉,埃德萨拉,多次违规
幻*灬,凤凰之神,首次违规
幻*幻,风暴之怒,首次违规
幻*虹,通灵学院,多次违规
幻**战,伊森利恩,首次违规
幻**雨,埃德萨拉,首次违规
幻**雨,血色十字军,多次违规
幻**魇,死亡之翼,多次违规
幻**碎,凤凰之神,多次违规
幻**生,末日行者,首次违规
幻**神,寒冰皇冠,多次违规
幻**色,索瑞森,首次违规
幻**染,无尽之海,首次违规
幻**魔,伊森利恩,首次违规
幻**鲁,黑石尖塔,首次违规
幻**机,无尽之海,多次违规
幻**恆,寒冰皇冠,多次违规
幻***娅,白银之手,多次违规
幻***雅,凤凰之神,首次违规
幻***她,白银之手,首次违规
幻***碎,凤凰之神,多次违规
幻***官,凤凰之神,多次违规
缓***大,影之哀伤,多次违规
寰***者,霜之哀伤,首次违规
圜*圜,回音山,多次违规
綄**藥,霜之哀伤,首次违规
綄***水,血色十字军,首次违规
环*哒,冰风岗,首次违规
环***拳,奥特兰克,首次违规
环****热,血吼,首次违规
歡*樂,阿纳克洛斯,多次违规
欢**子,贫瘠之地,多次违规
欢**萨,罗宁,首次违规
欢**刄,燃烧之刃,多次违规
欢**妹,末日行者,多次违规
欢***者,安苏,首次违规
欢***妈,主宰之剑,首次违规
欢***哥,燃烧之刃,多次违规
欢****子,埃德萨拉,首次违规
欢****腿,雷斧堡垒,首次违规
欢****牛,燃烧之刃,首次违规
欢****哥,伊森利恩,首次违规
坏*血,无尽之海,首次违规
坏*血,加兹鲁维,首次违规
坏*刃,埃加洛尔,首次违规
坏*人,伊森利恩,首次违规
坏*情,狂热之刃,首次违规
坏*灬,国王之谷,多次违规
坏**乄,安苏,首次违规
坏***毛,罗宁,首次违规
坏****鱼,凤凰之神,多次违规
坏****猫,克尔苏加德,首次违规
懐*庆,安苏,首次违规
槐**巷,安苏,多次违规
槐**二,格瑞姆巴托,首次违规
淮*月,燃烧之刃,多次违规
淮**少,影之哀伤,首次违规
淮**乃,白银之手,首次违规
怀*炎,凤凰之神,多次违规
怀*霜,主宰之剑,多次违规
怀*空,熊猫酒仙,多次违规
怀**月,主宰之剑,首次违规
怀**腿,布兰卡德,首次违规
怀**克,无尽之海,首次违规
怀**鬼,凤凰之神,首次违规
怀***子,伊森利恩,首次违规
怀***丿,凤凰之神,首次违规
怀***经,迅捷微风,首次违规
怀****往,主宰之剑,首次违规
怀****殺,安苏,多次违规
画*一,瓦里安,首次违规
画*雪,死亡之翼,多次违规
画*甲,血羽,首次违规
画*斗,风行者,首次违规
画*丶,死亡之翼,首次违规
画**睛,冰风岗,首次违规
画**花,迦拉克隆,首次违规
画****你,凤凰之神,首次违规
画****丶,白银之手,首次违规
画****丶,无尽之海,首次违规
划***鱼,凤凰之神,首次违规
划****达,死亡之翼,多次违规
化***丶,无尽之海,多次违规
化****雨,凤凰之神,首次违规
化****丶,死亡之翼,首次违规
滑***蝇,熊猫酒仙,首次违规
滑***落,无尽之海,首次违规
滑****安,罗宁,首次违规
华*兹,白银之手,首次违规
华*爷,罗宁,多次违规
华*硕,主宰之剑,首次违规
华*丽,熊猫酒仙,首次违规
华*锦,燃烧之刃,多次违规
华*灬,白银之手,首次违规
华**舞,试炼之环,首次违规
华**桃,燃烧之刃,多次违规
华**浅,深渊之巢,首次违规
华**丶,燃烧之刃,首次违规
华**丶,安苏,首次违规
华***王,凤凰之神,多次违规
华***丶,末日行者,多次违规
华***宝,燃烧之刃,多次违规
华****曲,死亡之翼,多次违规
錵***雨,罗宁,多次违规
錵***枫,罗宁,多次违规
椛**萨,燃烧之刃,首次违规
椛**落,主宰之剑,首次违规
婲*琂,白银之手,首次违规
埖**上,安苏,首次违规
哗*雄,格瑞姆巴托,多次违规
哗*板,龙骨平原,首次违规
哗****啦,主宰之剑,多次违规
哗****啦,死亡之翼,多次违规
花*子,埃加洛尔,首次违规
花*玥,蜘蛛王国,多次违规
花*月,奥特兰克,首次违规
花*也,梦境之树,多次违规
花*言,凤凰之神,首次违规
花*汐,罗宁,首次违规
花*悟,凤凰之神,首次违规
花*透,熊猫酒仙,首次违规
花*素,玛法里奥,首次违规
花*术,国王之谷,多次违规
花*鼠,燃烧之刃,首次违规
花*狩,黑暗之矛,多次违规
花*神,凤凰之神,多次违规
花*桑,伊森利恩,首次违规
花*清,白银之手,多次违规
花*枪,毁灭之锤,首次违规
花*墨,凤凰之神,多次违规
花*敏,安苏,首次违规
花*梦,黑铁,首次违规
花*络,龙骨平原,多次违规
花*珑,主宰之剑,首次违规
花*凉,烈焰峰,首次违规
花*链,死亡之翼,首次违规
花*泪,万色星辰,多次违规
花*来,血色十字军,首次违规
花*裤,埃德萨拉,多次违规
花*客,伊森利恩,首次违规
花*可,死亡之翼,首次违规
花*卷,拉文霍德,首次违规
花*灬,凤凰之神,首次违规
花*花,天空之墙,首次违规
花*寒,末日行者,首次违规
花*高,熊猫酒仙,多次违规
花*枫,死亡之翼,首次违规
花*风,凤凰之神,首次违规
花*飞,壁炉谷,首次违规
花*蝶,提尔之手,首次违规
花*丶,黑铁,首次违规
花*丶,白银之手,首次违规
花*丶,死亡之翼,首次违规
花*丶,死亡之翼,首次违规
花*敌,白银之手,多次违规
花*错,龙骨平原,首次违规
花*词,白银之手,多次违规
花*辰,拉文凯斯,首次违规
花*寶,格瑞姆巴托,首次违规
花**州,影之哀伤,首次违规
花**冢,燃烧之刃,多次违规
花**再,伊森利恩,首次违规
花**月,无尽之海,首次违规
花**语,熊猫酒仙,首次违规
花**语,熊猫酒仙,首次违规
花**鱼,凤凰之神,多次违规
花**香,血色十字军,多次违规
花**王,主宰之剑,首次违规
花**亭,白银之手,首次违规
花**水,死亡之翼,多次违规
花**树,罗宁,多次违规
花**诗,白银之手,首次违规
花**生,死亡之翼,首次违规
花**苕,凤凰之神,多次违规
花**蕱,凤凰之神,首次违规
花**殇,影之哀伤,首次违规
花**殇,血色十字军,多次违规
花**牧,罗宁,多次违规
花**落,回音山,首次违规
花**苓,罗宁,首次违规
花**璃,血色十字军,多次违规
花**懒,死亡之翼,首次违规
花**来,燃烧之刃,首次违规
花**瑾,血色十字军,首次违规
花**锦,月神殿,多次违规
花**花,罗宁,首次违规
花**国,格瑞姆巴托,首次违规
花**扉,罗宁,首次违规
花**二,格瑞姆巴托,首次违规
花**二,布兰卡德,多次违规
花**淡,罗宁,首次违规
花**岸,国王之谷,首次违规
花**岸,月神殿,多次违规
花***子,死亡之翼,多次违规
花***战,冰风岗,首次违规
花***影,主宰之剑,首次违规
花***宵,熊猫酒仙,首次违规
花***香,罗宁,首次违规
花***弱,斯克提斯,首次违规
花***牧,燃烧之刃,多次违规
花***岭,凤凰之神,首次违规
花***临,加里索斯,首次违规
花***里,燃烧之刃,首次违规
花***空,罗宁,首次违规
花***客,凤凰之神,多次违规
花***酒,凤凰之神,多次违规
花***剑,主宰之剑,多次违规
花***贵,黑铁,首次违规
花***枫,凤凰之神,多次违规
花***风,末日行者,首次违规
花***风,燃烧之刃,多次违规
花***丶,贫瘠之地,首次违规
花***丶,白银之手,首次违规
花***北,伊森利恩,多次违规
花****远,影之哀伤,多次违规
花****圣,伊森利恩,首次违规
花****潜,凤凰之神,多次违规
花****奶,燃烧之刃,首次违规
花****楼,托尔巴拉德,多次违规
花****了,主宰之剑,首次违规
花****会,死亡之翼,首次违规
花****儿,燃烧之刃,多次违规
花****丶,燃烧之刃,多次违规
花****城,主宰之剑,多次违规
护**姨,安苏,首次违规
护**哥,燃烧之刃,多次违规
护**叉,海克泰尔,多次违规
护***誓,死亡之翼,首次违规
鯱*丶,燃烧之刃,多次违规
琥*光,玛多兰,首次违规
琥**寻,罗宁,首次违规
琥**帝,冰风岗,多次违规
琥***琊,罗宁,多次违规
許***歡,凤凰之神,首次违规
虎*子,拉文凯斯,首次违规
虎*子,山丘之王,首次违规
虎*囡,阿努巴拉克,首次违规
虎*鲸,埃德萨拉,首次违规
虎*吼,燃烧之刃,多次违规
虎*锋,罗宁,首次违规
虎**灬,死亡之翼,首次违规
虎**丶,凤凰之神,首次违规
虎***仔,燃烧之刃,首次违规
虎***師,风暴峭壁,首次违规
虎***奶,熊猫酒仙,首次违规
虎****丶,安苏,首次违规
虎****丶,罗宁,多次违规
糊**精,范达尔鹿盔,多次违规
糊***脸,迦拉克隆,首次违规
糊***了,白银之手,多次违规
蝴**忍,凤凰之神,首次违规
蝴***泪,外域,多次违规
蝴***河,罗宁,首次违规
蝴***海,燃烧之刃,首次违规
蝴***飞,安苏,首次违规
槲**下,白银之手,首次违规
槲***路,燃烧之刃,首次违规
湖*萨,凤凰之神,首次违规
湖**士,罗宁,首次违规
湖**女,黑铁,多次违规
湖***叶,凤凰之神,多次违规
湖***雪,罗宁,多次违规
湖***军,亚雷戈斯,多次违规
湖****卡,迅捷微风,首次违规
葫**酒,死亡之翼,首次违规
葫****荣,冰风岗,首次违规
葫****奶,死亡之翼,多次违规
胡*图,冰霜之刃,首次违规
胡*筒,罗宁,首次违规
胡*僧,格瑞姆巴托,多次违规
胡*美,白银之手,首次违规
胡*狸,冰风岗,多次违规
胡*闆,死亡之翼,多次违规
胡**装,格瑞姆巴托,多次违规
胡**下,死亡之翼,首次违规
胡**下,死亡之翼,首次违规
胡**下,死亡之翼,首次违规
胡**丨,国王之谷,首次违规
胡**叔,白银之手,首次违规
胡**螺,死亡之翼,首次违规
胡**丶,燃烧之刃,首次违规
胡**帝,安苏,首次违规
胡***子,燃烧之刃,首次违规
胡***手,燃烧之刃,多次违规
